layer_name,layer_type,num_params
embedding.token_embed,Embedding,23680000,1948109093808
embedding.pos_embed,Embedding,151552,1948109094048
encoder_component.0.mha,OptimizedFlashMHA,1053168,1948109094128 | 1948109094208
encoder_component.0.mha.out_proj,Linear,351056,1948109094288 | 1948109094368
encoder_component.0.ffn.linear1,Linear,1518080,1948109094528 | 1948109094608
encoder_component.0.ffn.linear2,Linear,1516112,1948109094688 | 1948109094768
encoder_component.0.norm1,RMSNorm,592,1948025920544
encoder_component.0.norm2,RMSNorm,592,1948025920464
encoder_component.1.mha,OptimizedFlashMHA,1053168,1948109094448 | 1948109094848
encoder_component.1.mha.out_proj,Linear,351056,1948109291600 | 1948109291680
encoder_component.1.ffn.linear1,Linear,1518080,1948109291760 | 1948109291840
encoder_component.1.ffn.linear2,Linear,1516112,1948109291920 | 1948109292000
encoder_component.1.norm1,RMSNorm,592,1948109292080
encoder_component.1.norm2,RMSNorm,592,1948109292160
encoder_component.2.mha,OptimizedFlashMHA,1053168,1948109292240 | 1948109292320
encoder_component.2.mha.out_proj,Linear,351056,1948109292400 | 1948109292480
encoder_component.2.ffn.linear1,Linear,1518080,1948109292560 | 1948109292640
encoder_component.2.ffn.linear2,Linear,1516112,1948109292720 | 1948109292800
encoder_component.2.norm1,RMSNorm,592,1948109292880
encoder_component.2.norm2,RMSNorm,592,1948109292960
encoder_component.3.mha,OptimizedFlashMHA,1053168,1948109293040 | 1948109293120
encoder_component.3.mha.out_proj,Linear,351056,1948109293200 | 1948109293280
encoder_component.3.ffn.linear1,Linear,1518080,1948109293360 | 1948109293440
encoder_component.3.ffn.linear2,Linear,1516112,1948109293520 | 1948109293600
encoder_component.3.norm1,RMSNorm,592,1948109293680
encoder_component.3.norm2,RMSNorm,592,1948109293760
encoder_component.4.mha,OptimizedFlashMHA,1053168,1948109293840 | 1948109293920
encoder_component.4.mha.out_proj,Linear,351056,1948109294000 | 1948109294080
encoder_component.4.ffn.linear1,Linear,1518080,1948109294160 | 1948109294240
encoder_component.4.ffn.linear2,Linear,1516112,1948109294320 | 1948109294400
encoder_component.4.norm1,RMSNorm,592,1948109294480
encoder_component.4.norm2,RMSNorm,592,1948109294560
encoder_component.5.mha,OptimizedFlashMHA,1053168,1948109294640 | 1948109294720
encoder_component.5.mha.out_proj,Linear,351056,1948109294800 | 1948109294880
encoder_component.5.ffn.linear1,Linear,1518080,1948109294960 | 1948109295040
encoder_component.5.ffn.linear2,Linear,1516112,1948109295120 | 1948109295200
encoder_component.5.norm1,RMSNorm,592,1948109295280
encoder_component.5.norm2,RMSNorm,592,1948109295360
encoder_component.6.mha,OptimizedFlashMHA,1053168,1948109295440 | 1948109295520
encoder_component.6.mha.out_proj,Linear,351056,1948109295600 | 1948109295680
encoder_component.6.ffn.linear1,Linear,1518080,1948109295760 | 1948109295840
encoder_component.6.ffn.linear2,Linear,1516112,1948109295920 | 1948109296000
encoder_component.6.norm1,RMSNorm,592,1948109296080
encoder_component.6.norm2,RMSNorm,592,1948109296160
encoder_component.7.mha,OptimizedFlashMHA,1053168,1948109296240 | 1948109296320
encoder_component.7.mha.out_proj,Linear,351056,1948109296400 | 1948109296480
encoder_component.7.ffn.linear1,Linear,1518080,1948109296560 | 1948109296640
encoder_component.7.ffn.linear2,Linear,1516112,1948109296720 | 1948109296800
encoder_component.7.norm1,RMSNorm,592,1948109296880
encoder_component.7.norm2,RMSNorm,592,1948109296960
decoder_component.0.self_mha,OptimizedFlashMHA,1053168,1948109297280 | 1948109297360
decoder_component.0.self_mha.out_proj,Linear,351056,1948109297440 | 1948109297520
decoder_component.0.cross_mha,OptimizedFlashMHA,1053168,1948109297600 | 1948109297680
decoder_component.0.cross_mha.out_proj,Linear,351056,1948109297760 | 1948109297840
